Sample in Buffer,Sample in Window,TRIGGER,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_ar_cnt[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_araddr[31:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arburst[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arcache[3:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arlen[7:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arlock,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arprot[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arqos[3:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arsize[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_aruser,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_aw_cnt[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awaddr[31:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awburst[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awcache[3:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awlen[7:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awlock,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awprot[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awqos[3:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awsize[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awuser,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_b_cnt[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_bid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_bresp[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_buser,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_r_cnt[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rdata[31:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rresp[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_ruser,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wdata[31:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wstrb[3:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wuser,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_aw_ctrl[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awvalid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_awready,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_w_ctrl[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wvalid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wready,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_wlast,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_b_ctrl[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_bvalid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_bready,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_ar_ctrl[1:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arvalid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_arready,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_r_ctrl[2:0],sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rvalid,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rready,sub_BD_inst/sub_BD_i/system_ila_0/inst/net_slot_0_axi_rlast,AR_Channel_(i1:s0)_(MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI)[2:0],AW_Channel_(i1:s0)_(MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI)[2:0],B_Channel_(i1:s0)_(MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI)[2:0],R_Channel_(i1:s0)_(MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI)[2:0],W_Channel_(i1:s0)_(MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI)[2:0],slot_0___MY_AXI_MASTER_FULL_ip_0_Master_Full_AXI___Read_Transactions_0[15:0]
12,12,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
13,13,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
14,14,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
15,15,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
16,16,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
17,17,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
18,18,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
19,19,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
20,20,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
21,21,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
22,22,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
23,23,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
24,24,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
25,25,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
26,26,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
27,27,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
28,28,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
29,29,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
30,30,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
31,31,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
32,32,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
33,33,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
34,34,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
35,35,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
36,36,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
37,37,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
38,38,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
39,39,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
40,40,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
41,41,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
42,42,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
43,43,0,0,80400328,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,804002a8,"INCR",2,0,0f,0,"Data Secure Unprivileged",0,"4 bytes",1,0,0,"OKAY",0,0,00010002,0,"OKAY",0,00000000,f,0,2,0,1,2,0,1,0,0,0,0,2,0,1,0,0,0,0,"_","No Write Addr Cmds","No Write Responses","_","No Write Data Beats","_"
